,City,Lat,Lng,Temp_F,Humidity,Cloudiness,Windspeed
117,Cabricán,15.1333,-91.6167,62.65,92,2,2.59
118,Deggendorf,48.8333,12.9667,30.7,89,100,6.2
119,Kovačica,45.1117,20.6214,48.02,61,0,16.11
120,Grave,51.759,5.7388,22.42,74,90,20.71
121,Dobrin,47.2833,23.1333,44.13,93,75,4.61
122,Parau,-36.9672,174.6141,75.07,43,17,13.8
123,Turka,49.1541,23.0297,24.33,86,100,1.99
124,Babu,24.4167,111.5167,69.64,51,93,6.58
125,Savália,37.8216,21.2943,63.39,55,75,11.5
126,Nivnice,48.9747,17.6476,32.29,92,100,2.82
127,Cuiabá,-15.5961,-56.0967,75.2,73,0,2.3
128,Sanarate,14.795,-90.1922,61.9,77,0,13.8
129,Murighiol,45.0333,29.1667,41.0,100,75,1.14
130,Guadalajara,20.6667,-103.3333,66.13,30,1,6.91
131,Yaguacire,14.0167,-87.2167,66.11,68,20,4.25
132,Ebetsu,43.1081,141.5506,23.0,74,75,16.11
133,Valle de Ángeles,14.15,-87.0333,66.09,68,20,2.82
134,Shebekino,50.4097,36.9136,8.6,78,0,6.71
135,Montegrotto Terme,45.3315,11.7912,47.53,89,75,1.07
136,Bhowali,29.3833,79.5167,55.36,40,0,2.21
137,Nærbø,58.6667,5.65,14.29,85,0,3.44
138,Auchinleck,55.4716,-4.2934,32.32,74,40,9.22
139,Mattru,7.6244,-11.8332,74.44,92,34,2.06
140,Pueblo Nuevo,23.3833,-105.3833,46.62,55,58,4.34
141,Macedonia,41.3137,-81.5085,8.56,76,100,1.01
142,West Linn,45.3657,-122.6123,41.2,75,40,6.91
143,Kalashnikovo,57.2824,35.2262,3.88,95,98,4.32
144,São Francisco de Paula,-29.4481,-50.5836,58.66,90,22,3.0
145,Avila,40.5833,-5.0,39.99,90,94,5.01
146,Paralímni,35.0375,33.9833,54.32,93,20,4.61
147,Aduturai,11.0147,79.4791,77.74,65,95,11.3
148,Radford,37.1318,-80.5764,21.27,86,1,3.44
149,Scorţaru Nou,45.3167,27.6,42.89,96,99,4.34
150,Caucayá,-0.1934,-74.7819,75.02,83,70,3.2
151,Balingcanaway,15.4817,120.6856,86.0,58,75,4.61
152,Dzheguta,43.9671,42.0426,33.57,90,100,1.14
153,Athy,52.9914,-6.9803,34.0,69,76,8.01
154,Gubin,51.9496,14.7284,14.34,86,100,10.0
155,Degtyarsk,56.704,60.0879,-5.8,71,40,13.42
156,Creel,27.75,-107.6333,38.91,70,0,4.43
157,San Ignacio,17.1561,-89.0714,76.53,88,40,4.61
158,San Mateo,37.4499,-122.3511,52.86,62,20,4.25
159,Battonya,46.2833,21.0167,46.13,76,0,8.05
160,Káto Asítai,35.2,25.0,63.16,59,20,16.11
161,Muttenz,47.5227,7.6451,35.78,100,75,4.61
162,Koekelare,51.0937,2.9659,25.48,80,75,14.97
163,Hartland,43.105,-88.342,-3.21,65,90,8.25
164,Roncade,45.63,12.3742,48.56,100,90,5.75
165,Máriapócs,47.883,22.025,40.77,93,100,8.05
166,Semiluki,51.6853,39.0279,3.2,85,0,8.95
167,Zawadzkie,50.605,18.4847,18.0,93,100,5.01
168,Endirey,43.1632,46.654,29.46,95,100,6.35
169,Nerja,36.7585,-3.8873,52.93,87,97,5.99
170,Puerto Morazán,12.8504,-87.1717,74.52,90,6,1.97
171,Tajao,10.3148,123.5835,77.0,94,90,9.22
172,Waukesha,43.0333,-88.3001,-3.05,65,90,4.61
173,Agawam,42.0695,-72.6148,24.35,63,1,19.57
174,Madruga,22.9114,-81.8561,69.53,100,0,5.75
175,Hustopeče,48.9408,16.7376,24.57,93,90,8.05
176,Hodac,46.7667,24.9167,42.91,81,75,8.05
177,Lilienthal,53.1657,8.9293,24.28,54,90,17.27
178,Agua Caliente,14.8833,-88.8167,63.59,93,4,1.52
179,Paso de los Toros,-32.8167,-56.5167,71.35,56,0,8.05
180,Mursalimkino,55.0379,58.5585,-6.93,88,100,17.07
181,Lenoir City,35.7973,-84.256,27.16,87,9,3.83
182,Arevabuyr,40.0371,44.4693,26.6,86,97,1.14
183,Himatangi,-40.4,175.3167,74.66,54,10,5.99
184,Bekobod,40.2208,69.2697,48.2,66,75,6.71
185,Charneca de Caparica,38.6206,-9.1915,54.39,82,20,11.5
186,Phirangipuram,16.3,80.2667,78.8,65,20,6.91
187,Sūlam,32.6061,35.3341,52.25,84,25,2.46
188,Fosca,4.3392,-73.9385,55.4,100,75,2.3
189,Kiszombor,46.1833,20.4333,46.2,76,0,8.05
190,Sayansk,54.1088,102.1648,20.08,95,56,2.55
191,Middelburg,-25.7751,29.4648,58.14,89,20,4.16
192,Combs-la-Ville,48.665,2.5696,31.12,80,90,6.91
193,Medeiros Neto,-17.3739,-40.2206,73.67,89,100,2.04
194,Baiima,8.1,-11.85,73.24,93,14,1.81
195,Goragorskiy,43.5031,45.0792,26.4,93,100,4.47
196,Sauteurs,12.2167,-61.6333,77.77,77,6,21.23
197,Chuchar-kana Mandi,31.75,73.8,55.4,71,0,1.45
198,Grödig,47.7333,13.0333,34.74,81,75,6.91
199,Penafiel,41.2084,-8.2829,47.68,9,52,8.01
200,Karditsa,39.3656,21.9217,46.62,93,40,1.99
201,El Ejido,36.7763,-2.8146,55.71,67,20,24.16
202,Mizhhirya,48.5246,23.5056,41.31,87,100,6.06
203,Batangas,13.7594,121.06,81.0,81,93,8.01
204,West Lafayette,40.4259,-86.9081,3.65,78,90,2.24
205,Amecameca,19.1167,-98.7667,64.2,34,1,9.22
206,Avezzano,42.0402,13.4388,43.81,90,82,4.0
207,Alkhan-Churt,43.35,44.78,26.31,93,99,4.47
208,Aranzazu,5.2712,-75.4904,59.07,89,100,2.89
209,Punta de Bombón,-17.1717,-71.7931,71.98,82,90,4.29
210,General Artigas,-26.9333,-56.2167,66.09,86,0,3.49
211,Kishanpur,25.65,81.0167,64.56,40,0,6.26
212,Duyun,26.2667,107.5167,50.29,86,100,5.75
213,Patan,27.6667,85.3333,51.8,66,20,1.7
214,Velký Týnec,49.5499,17.3336,18.3,85,100,8.99
215,Cranford,40.6584,-74.2996,26.22,68,1,9.22
216,Ndungu,-4.3667,38.05,73.26,80,97,3.09
217,Āmol,36.4696,52.3507,49.91,73,9,1.83
218,Lima,-12.0432,-77.0282,71.65,88,0,11.5
219,Sarasota Springs,27.3089,-82.4795,62.8,77,90,6.91
220,Lvovskoye,44.9944,38.6354,25.11,78,100,9.86
221,Moro,26.6646,68.0016,59.0,72,0,4.61
222,Amnat Charoen,15.9167,104.75,85.08,46,31,10.07
223,Rovira,4.2392,-75.24,71.4,74,100,5.12
224,Vári,37.8312,23.8081,60.08,71,0,2.3
225,Ratnagiri,16.9833,73.3,83.03,34,83,12.48
226,Brus Laguna,15.75,-84.4833,71.92,92,0,3.33
227,Zalaegerszeg,46.84,16.8439,37.4,100,75,4.61
228,Ledenice,48.9333,14.6189,26.46,94,100,2.71
229,Binka,21.0333,83.8,72.57,24,0,2.64
230,Chernigovka,44.3389,132.5728,4.98,86,17,4.83
231,Tibirita,5.0533,-73.5037,59.9,84,100,0.69
232,Wauwatosa,43.0495,-88.0076,-1.79,55,90,9.22
233,Xapuri,-10.6517,-68.5044,74.57,94,100,2.04
234,Mission Bend,29.6938,-95.6649,51.78,82,75,6.91
235,Thessalon,46.2501,-83.5666,1.4,71,1,3.44
236,Zarechnyy,53.2036,45.1923,-4.18,92,100,8.99
237,Fevik,58.3794,8.6766,17.15,62,61,9.22
238,Corbu,44.3833,28.65,44.8,100,90,3.44
239,Altamonte Springs,28.6611,-81.3656,60.69,82,90,10.36
240,Walpole,42.1418,-71.2495,28.44,86,97,8.05
241,Senanga,-16.1167,23.2667,67.42,95,100,5.57
242,Tarqui,2.1125,-75.8242,70.54,76,99,3.04
243,Curvelo,-18.7564,-44.4308,67.69,97,100,4.65
244,Kanash,55.5086,47.4956,-14.8,76,20,13.42
245,Greenbelt,39.0046,-76.8755,28.4,24,1,6.91
246,Salto de Pirapora,-23.6489,-47.5733,61.14,85,0,8.72
247,Honningsvåg,70.9821,25.9704,21.2,93,90,27.63
248,Copertino,40.2715,18.0565,59.0,94,40,18.41
249,Arkhangel’skoye,55.8549,35.3287,-1.95,93,8,6.6
250,Sinait,17.8664,120.4583,93.2,46,40,4.61
251,Burgos,42.3394,-3.7079,41.88,100,90,17.27
252,Fürstenfeld,47.05,16.0833,40.64,99,97,2.08
253,Khajuraho,24.85,79.9333,51.8,87,0,2.55
254,Nagua,19.3832,-69.8474,75.0,85,38,1.01
255,Nettuno,41.4826,12.679,51.15,69,44,8.01
256,Copălău,47.6167,26.8333,21.6,93,90,14.97
257,Scutelnici,44.85,26.9167,40.84,97,100,4.52
258,River Rouge,42.2734,-83.1344,10.51,61,1,11.5
259,Gokak,16.1667,74.8333,69.8,43,76,13.8
260,Kosterevo,55.9299,39.6144,-15.16,87,0,5.48
261,Dhekiajuli,26.7,92.5,69.75,40,0,4.43
262,Balashikha,55.8094,37.9581,-4.0,92,20,4.47
263,Smila,49.2224,31.8871,14.07,96,100,13.65
264,Bracciano,42.1031,12.1754,46.62,66,40,13.8
265,Mwaro Province,-3.5,29.6667,58.53,97,100,3.02
266,Shrewsbury,52.7101,-2.7521,31.35,80,75,13.8
267,Garça,-22.2106,-49.6561,66.0,78,0,5.99
268,Santa Cruz de la Sierra,-17.8,-63.1667,77.0,83,75,2.3
269,Bod,45.7667,25.65,35.01,82,38,3.0
270,Norsup,-16.0667,167.3833,84.85,57,1,5.82
271,Grand-Santi,4.25,-54.3833,72.73,97,100,1.81
272,Noumea,-22.2763,166.4572,84.69,70,90,8.05
273,Livermore,37.6819,-121.768,48.61,66,1,4.61
274,Linares,-35.85,-71.6,56.62,92,0,3.6
275,Kirs,59.3388,52.2447,-19.25,86,100,9.31
276,Făgeţelu,44.7833,24.5333,38.95,89,98,5.32
277,Manitowoc,44.0667,-87.8001,-2.04,55,90,12.66
278,São Pedro da Cova,41.1551,-8.5041,49.32,87,40,9.22
279,Orong,9.9375,122.8289,76.89,84,100,14.81
280,Alotenango,14.4803,-90.8075,61.93,77,0,13.8
281,Mukono,0.3533,32.7553,68.0,83,88,1.66
282,Nanhyanga,-10.8,39.55,72.93,96,100,2.08
283,Romodanovo,54.4275,45.3296,-15.68,87,35,9.48
284,Stadtbredimus,49.5628,6.3644,30.72,93,75,4.61
285,Mayantoc,15.6199,120.377,86.0,58,75,4.61
286,Chaadayevka,53.1427,45.9122,-4.41,90,100,11.83
287,Nemesnádudvar,46.3405,19.0511,50.49,77,100,12.12
288,Volchansk,59.9378,60.081,-14.13,89,100,5.79
289,Makir,7.0308,124.3042,84.85,64,100,2.89
290,Sutysky,49.0425,28.4173,10.2,100,90,17.9
291,Tonawanda,42.985,-78.878,8.28,61,1,11.5
292,Vanadzor,40.8046,44.4939,12.2,85,100,1.14
293,Mali,12.079,-12.2982,75.2,35,0,4.61
294,Southglenn,39.5872,-104.9528,16.68,85,90,11.5
295,Iset',56.9779,60.3718,-5.8,71,40,13.42
296,Popovo,43.35,26.2333,39.56,100,90,1.14
297,Calabazar de Sagua,22.6447,-79.8961,69.8,100,1,1.14
298,Zitlala,17.6333,-99.0833,58.03,100,23,7.05
299,Pañgobilian,8.8011,117.8594,83.59,70,100,8.3
300,Arrondissement de Rambouillet,48.5833,1.9167,30.34,89,90,3.0
301,Cornella,-36.7,144.75,72.0,41,55,5.99
302,Cutervo,-6.379,-78.8157,52.61,100,71,3.47
303,Atamanskaya,46.1773,39.6358,24.8,97,100,11.36
304,Albion,42.2431,-84.753,7.16,78,90,4.61
305,Brainerd,46.358,-94.2008,-10.07,59,90,6.91
306,Hayesville,44.986,-122.9829,40.23,75,1,5.75
307,Bilimora,20.7672,72.9693,77.0,33,0,11.5
308,Krasnomayskiy,57.6194,34.4099,5.25,95,98,4.99
309,Ano Poroia,41.2833,23.0333,48.0,92,100,5.35
310,Maple Grove,45.0725,-93.4558,-2.72,60,90,4.61
311,Verkhnetulomskiy,68.6073,31.7962,19.4,93,75,6.71
312,Malkera,23.7833,86.3,70.39,32,0,6.76
313,Pinellas Park,27.8428,-82.6995,57.38,94,75,6.91
314,Dīnānagar,32.15,75.4667,59.45,48,0,1.54
315,Ryzdvyany,45.2656,41.8389,17.6,93,90,8.95
316,Bhavāni,11.45,77.6833,77.0,65,20,3.44
317,Katy,29.7858,-95.8244,51.3,100,90,6.91
318,Zwijndrecht,51.8175,4.6333,23.18,86,100,10.0
319,Sydney Mines,46.2367,-60.2177,27.57,93,90,18.41
320,Masaya,11.9744,-86.0942,78.8,65,20,6.91
321,Kulti,23.7333,86.85,69.8,64,0,11.5
322,Francisco Morato,-23.2817,-46.7453,63.9,82,75,6.91
323,Kozel'sk,54.0375,35.7716,-4.0,84,40,4.21
324,Naranjito,-2.2167,-79.4833,80.55,69,75,12.66
325,Dunoon,55.947,-4.923,32.68,74,71,9.22
326,Tura,25.5198,90.2201,74.25,31,0,4.27
327,Lustosa,41.3408,-8.3172,47.62,93,53,1.99
328,Ruscova,47.7883,24.2808,44.8,93,75,4.61
329,Hājīpur,25.6833,85.2167,60.8,59,0,5.75
330,Ineangan,16.3181,121.093,82.24,55,68,7.09
331,Eslöv,55.8393,13.3039,22.66,86,96,7.0
332,Itaquaquecetuba,-23.4861,-46.3483,63.79,82,75,6.91
333,Juxtlahuaca,17.4294,-99.1467,68.94,81,46,3.4
334,Betzdorf,50.7833,7.8833,18.64,90,100,1.99
335,Sulechów,52.0836,15.6251,15.42,73,90,16.11
336,Ipameri,-17.7219,-48.1597,67.95,92,100,1.3
337,Arrianá,41.0833,25.7,59.0,90,100,13.24
338,Lanquín,15.5667,-89.9667,67.59,84,7,2.28
339,Forth,55.765,-3.6887,30.96,81,15,7.74
340,Mława,53.1128,20.3841,3.2,78,0,10.36
341,Cabral,18.25,-71.2167,73.26,82,16,5.48
342,Barrhead,55.7992,-4.3929,32.36,74,19,9.22
343,Vargem Grande,-3.5431,-43.9158,73.17,95,30,1.48
344,Duekoué,6.7472,-7.3496,76.77,84,57,5.53
345,Rockland,41.1668,-74.0496,25.11,54,1,19.57
346,Rathangan,53.2214,-6.995,34.48,60,75,19.57
347,Elektrėnai,54.7667,24.6333,0.55,71,0,4.61
348,Panji,-7.7253,114.0995,85.46,66,62,12.28
349,Belgatoy,43.19,45.8308,26.6,93,90,3.89
350,Oarja,44.7579,24.9752,44.01,78,87,2.8
351,Caesarea,32.5189,34.9046,49.39,87,0,4.61
352,Gemeente Venray,51.5167,5.9667,22.59,74,75,8.05
353,Põlva,58.0603,27.0694,15.8,86,90,3.44
354,Sainthia,23.95,87.6667,69.8,64,0,11.5
355,Opfikon,47.4317,8.5759,34.7,93,20,4.61
356,Apaţa,45.95,25.5167,35.01,82,50,3.0
357,Hanmer Springs,-42.5167,172.8167,76.96,35,85,9.28
358,Nueva Gerona,21.8833,-82.8,76.33,84,4,7.29
359,Kharhiāl,20.2833,82.7667,70.29,25,3,3.04
360,Fort Hunt,38.7329,-77.058,28.09,59,1,11.54
361,Güstrow,53.7972,12.1734,24.93,68,90,25.32
362,Nakapiripirit,1.9167,34.7833,66.56,64,100,4.76
363,Minuri,16.535,121.8574,81.32,69,53,2.98
364,Las Matas de Farfán,18.8731,-71.5166,67.23,81,44,1.48
365,Maketu,-37.7667,176.45,67.8,66,45,10.09
366,El Sauce,12.8869,-86.539,73.78,68,26,3.71
367,Walkden,53.5167,-2.4,33.31,74,75,17.27
368,Monroe,43.1501,-77.6831,9.72,61,75,13.8
369,Roissy-en-Brie,48.8,2.65,30.69,86,93,3.62
370,Vwawa,-9.1167,32.9333,61.43,97,100,1.41
371,Ranfurly,-45.1333,170.1,71.01,48,98,1.99
372,Shchebetovka,44.9333,35.15,38.17,92,100,7.99
373,San Pedro Apartado,15.8353,120.5661,90.32,44,54,8.72
374,Badak,6.8472,124.7206,87.91,61,99,3.36
375,Slatina-Timiş,45.25,22.2833,41.22,74,98,14.76
376,La Paz,-16.5,-68.15,44.6,87,75,10.36
377,Stamford,41.0534,-73.5387,25.07,54,1,19.57
378,Surubim,-7.8331,-35.7547,73.4,94,75,11.5
379,Dongdu,35.85,117.7,40.71,51,67,0.65
380,Kampar,4.3,101.15,86.65,66,20,1.14
381,Sogamoso,5.7143,-72.9339,56.61,82,84,1.59
382,Cardona,14.45,121.2167,86.88,55,40,13.8
383,Mbulu,-3.85,35.5333,59.52,99,100,4.47
384,Igarassu,-7.8342,-34.9064,78.8,69,40,5.75
385,Ladenburg,49.475,8.6069,30.6,95,100,2.66
386,Afaahiti,-17.75,-149.2833,86.0,62,40,10.36
387,La Ronge,55.1001,-105.2842,-32.8,61,0,3.44
388,Kutum,14.2,24.6667,49.77,44,0,9.86
389,Niles,42.0189,-87.8028,0.64,65,75,5.75
390,Matsubase,32.65,130.6667,51.39,43,20,9.22
391,Mayakovski,40.252,44.6393,26.6,86,100,1.14
392,Altud,43.7219,43.8658,25.34,86,90,4.47
393,Sfinţeşti,44.1833,25.1,40.33,96,91,2.64
394,Rača,44.2271,20.9775,42.8,87,0,4.61
395,Iklad,47.6653,19.4361,38.71,93,90,5.75
396,Stary Sącz,49.5636,20.635,22.35,84,100,3.36
397,Pacho,5.1328,-74.1598,55.4,100,75,2.3
398,Bellmead,31.594,-97.1089,52.36,71,1,5.75
399,Mazarrón,37.5992,-1.3149,53.67,66,0,5.75
400,Amalner,21.05,75.0667,71.78,21,1,9.69
401,El Lolo,14.1167,-87.2667,66.09,68,20,3.44
402,Canning,22.3189,88.6714,68.0,64,0,9.22
403,Nova Serrana,-19.8761,-44.9836,64.83,97,100,6.2
404,Lucija,45.5053,13.6024,51.85,76,90,6.91
405,Santa Monica,34.0195,-118.4912,53.1,93,90,4.61
406,Putyatino,54.16,41.1169,-9.85,88,16,6.85
407,Mattersburg,47.7333,16.4,32.4,93,75,6.91
408,Khabary,53.6259,79.5345,17.4,96,96,12.8
409,Tipolo,10.0196,124.5144,77.0,94,90,9.22
410,Mechernich,50.6,6.65,25.38,88,100,1.99
411,Swidnica,50.8438,16.4886,12.02,73,100,13.29
412,Foumbot,5.5079,10.6356,61.47,44,97,2.59
413,Şieu-Odorhei,47.15,24.3167,46.2,71,75,11.5
414,Corod,45.9,27.6167,40.15,96,100,8.25
415,Doncaster,53.5233,-1.1369,31.68,86,40,14.97
416,Santa María Ixhuatán,14.19,-90.2747,63.91,77,0,13.8
417,Tailai,46.3833,123.4,9.28,81,0,6.17
418,Proletariy,58.4342,31.7046,8.17,96,96,4.52
419,Kolomyia,48.5306,25.0403,27.68,98,100,10.29
420,Bafut,6.0833,10.1,64.09,28,100,2.59
421,Nato,13.6105,123.5356,78.4,84,100,8.01
422,Taylorsville,40.6677,-111.9388,40.23,48,1,4.61
423,Sourpi,39.1,22.9,50.0,87,20,4.61
424,Spanţov,44.1167,26.7833,41.79,84,83,1.99
425,Gödöllő,47.5966,19.3551,38.71,93,90,5.75
426,Kamenka,51.3223,42.7678,-7.94,91,75,8.28
427,Nangka,9.4006,122.8169,82.4,83,40,9.22
428,Krapkowice,50.4752,17.9654,18.46,10,100,1.99
429,Cativá,9.3606,-79.8436,76.41,87,63,4.0
430,Pasadena,29.6911,-95.2091,51.58,82,40,4.61
431,Kampenhout,50.95,4.55,24.57,80,75,12.66
432,Gmina Brwinów,52.1427,20.717,12.61,79,75,18.41
433,Podgornaya,44.2031,43.4297,27.3,93,90,13.42
434,Sucre,-19.0333,-65.2627,56.12,77,100,5.59
435,Haldībāri,26.3333,88.7667,73.65,31,0,2.89
436,Greceşti,44.45,23.2833,38.37,94,99,4.52
437,Sarukhan,40.2905,45.1306,26.6,86,100,1.14
438,Dauphin,51.1494,-100.0502,-27.4,62,1,17.27
439,Husasău de Tinca,46.8167,21.9167,46.2,87,75,6.91
440,Ojojona,13.9339,-87.2958,66.11,68,20,4.7
441,Hereford,52.0568,-2.7148,32.0,80,95,3.0
442,Chodzież,52.995,16.9198,12.0,87,100,5.01
443,Sula,15.4573,120.3955,86.0,58,75,4.61
444,Borşa,47.6553,24.6633,40.33,79,99,3.58
445,Tănăsoaia,46.1,27.3667,32.0,100,75,5.75
446,Novi di Modena,44.8905,10.9014,43.21,93,20,5.01
447,San Isidro,-12.1167,-77.05,71.53,88,0,11.5
448,Kirchlinteln,52.95,9.3167,22.55,54,90,17.27
449,Nuwara Eliya,6.9708,80.7829,60.51,100,75,5.79
450,Bama,11.5221,13.6856,61.52,39,100,6.04
451,Abu Ghosh,31.8059,35.1093,48.88,87,0,4.61
