,City,Lat,Lng,Temp_F,Humidity,Cloudiness,Windspeed
181,Agua Buena,7.8167,-80.4,74.89,83,100,8.66
182,Laas,46.6166,10.7002,36.88,80,0,3.44
183,Zomba,-15.386,35.3188,81.73,64,2,4.21
184,Szczytno,53.5626,20.9875,15.8,92,0,1.14
185,Łęczna,51.3012,22.8814,22.51,80,20,4.61
186,Skhodnya,55.9558,37.2972,10.4,79,40,13.42
187,Vershino-Darasunskiy,52.35,115.5167,-3.3,91,85,2.08
188,Jalostotitlán,21.2,-102.4667,57.85,32,0,4.85
189,Ansermanuevo,4.7972,-75.995,66.0,87,40,0.63
190,Ottumwa,41.02,-92.4113,18.46,73,90,11.5
191,Illkirch-Graffenstaden,48.5289,7.7152,45.25,100,90,3.69
192,Dīnhāta,26.1333,89.4667,83.82,23,0,4.12
193,Baikingon,8.4722,124.5536,81.0,85,91,4.0
194,Pleasanton,37.6624,-121.8747,43.09,82,0,1.92
195,Alajuelita,9.9016,-84.1004,64.38,77,0,9.22
196,Cucuteni,47.2833,26.9333,34.95,86,97,3.0
197,Haren,52.7833,7.2333,36.48,93,90,5.75
198,Monrovia,6.3005,-10.7969,78.8,94,40,7.7
199,El Silencio,10.5,-66.9167,73.2,83,20,3.74
200,Pedro II,-4.4247,-41.4586,65.8,89,45,3.44
201,Forécariah,9.4306,-13.0881,73.4,83,75,9.22
202,Dunmore Town,25.5,-76.65,70.23,57,43,12.84
203,Břeclav,48.759,16.882,40.33,86,95,3.0
204,La Mata,8.0833,-80.8833,73.4,81,96,1.61
205,Praxédis Guerrero,31.3667,-106.0167,53.71,24,1,8.05
206,Sapulpa,35.9987,-96.1142,29.19,93,1,6.17
207,Hasanpur,28.7167,78.2833,71.82,38,0,6.06
208,Attock,33.7695,72.3611,62.01,56,0,1.99
209,Sharonville,39.2681,-84.4133,30.47,69,90,18.41
210,Noordwijk,52.2411,4.4462,42.75,93,100,3.0
211,El Triunfo,-1.9333,-79.9667,75.99,94,90,2.3
212,Isabang,13.9569,121.5708,77.0,83,100,11.01
213,Punta de Piedra,7.6176,-71.4916,74.91,70,55,0.81
214,Hellange,49.5067,6.1506,44.17,100,75,6.91
215,Măieru,47.4,24.75,39.0,75,100,1.01
216,Chilchota,19.85,-102.1333,51.01,74,0,2.98
217,Daphne,30.6035,-87.9036,62.64,82,90,4.61
218,Staroye Drozhzhanoye,54.7266,47.5677,36.59,99,100,14.94
219,Palestine,31.9216,35.2033,58.89,77,40,4.61
220,Dimaluna,8.1203,123.7981,81.21,78,68,4.61
221,Vardenis,40.1827,45.7311,36.21,82,10,9.1
222,Păuşeşti-Măglaşi,45.1333,24.25,47.48,53,100,1.72
223,Deseronto,44.2001,-77.0494,31.33,90,100,12.84
224,Murrieta,33.5539,-117.2139,43.88,93,1,1.99
225,San Ignacio,17.1561,-89.0714,62.29,100,0,1.3
226,Yaan,7.3833,8.5667,87.96,12,21,11.01
227,Bira,49.0,132.4667,-1.8,91,100,1.36
228,Malakwal,32.5536,73.2123,68.43,43,0,0.81
229,Malusay,10.1439,123.2717,82.49,74,76,10.51
230,Biharamulo,-2.6319,31.3089,75.0,70,66,3.36
231,Grogol,-7.6011,110.8186,81.27,80,100,1.61
232,Candiis,8.9703,125.1842,83.3,71,75,10.42
233,Atlautla,19.0167,-98.7833,53.6,47,1,3.76
234,Pitogo,13.7847,122.0881,74.84,90,100,16.6
235,Arrondissement de Tarbes,43.25,0.1667,44.6,100,90,2.3
236,Warwick,41.7001,-71.4162,28.26,80,1,5.06
237,Parista,15.8536,120.9282,82.27,62,8,5.97
238,Kincardine,56.0667,-3.7167,38.3,93,90,13.8
239,Iwata,34.7,137.85,49.6,40,75,19.57
240,Čečava,44.6867,17.7706,44.6,87,0,2.3
241,San Vicente,-26.6167,-54.1333,57.54,100,34,3.53
242,Râmnicelu,45.2833,27.5333,39.54,71,100,5.59
243,Spineni,44.7,24.5667,49.05,58,0,1.14
244,Ibbenbueren,52.2667,7.7333,38.1,87,0,4.61
245,Presidente Dutra,-5.29,-44.49,71.44,98,38,1.99
246,Bülach,47.522,8.5405,39.13,100,20,5.75
247,Västerås,59.6162,16.5528,14.31,79,0,6.91
248,Magaria,12.9983,8.9099,75.43,19,0,18.99
249,Koumra,8.9126,17.5539,90.57,12,57,10.04
250,Urengoy,65.9667,78.3667,-24.3,86,12,5.95
251,Zarechnyy,53.2036,45.1923,37.0,99,100,7.92
252,Berchem,50.7902,3.5132,43.65,100,94,4.0
253,Le Tampon,-21.2667,55.5167,81.03,49,20,5.75
254,Buliok,7.0167,124.7,84.51,70,100,4.61
255,Dolna Banjica,41.7861,20.9061,37.4,100,20,1.14
256,Páez,5.1011,-73.0512,64.13,77,86,2.98
257,Livada,47.8667,23.1333,43.29,93,99,3.44
258,Samos,37.7572,26.9769,57.2,88,0,5.75
259,Seelze,52.4,9.6,36.93,100,90,10.36
260,Karawang,-6.3042,107.3079,88.03,66,40,6.91
261,Valkeala,60.9401,26.7979,1.69,85,0,9.22
262,Ianca,45.1333,27.45,39.85,71,100,6.13
263,Cidreira,-30.1811,-50.2056,66.43,81,66,18.95
264,Toftlund,55.1886,9.0693,30.4,86,75,12.66
265,Susaki,33.3667,133.2833,53.6,40,0,1.14
266,Pivijay,10.4617,-74.6162,76.01,88,97,5.75
267,San Felipe,10.3399,-68.7425,71.74,93,98,2.51
268,Volchansk,59.9378,60.081,18.79,97,100,2.91
269,Coacotla,17.9333,-94.675,61.93,93,2,1.3
270,Inhambane,-23.865,35.3833,89.29,74,40,4.61
271,Itaberá,-23.8619,-49.1372,64.0,81,6,3.49
272,Santa Rosa,14.3122,121.1114,82.49,58,75,8.05
273,Areia,-6.9633,-35.6917,69.67,95,78,7.49
274,Harvey,38.05,-97.4336,30.43,74,20,4.61
275,Springside,55.6167,-4.6,39.99,87,75,16.11
276,Mariana,-20.3778,-43.4161,67.3,91,100,2.66
277,Fort-Shevchenko,44.5086,50.263,47.32,84,71,10.56
278,Gunupur,19.0833,83.8167,90.93,14,0,2.04
279,Tixkokob,21.0,-89.4,64.71,88,1,6.91
280,Woippy,49.1495,6.1491,47.16,93,100,9.22
281,Huaihua,27.5494,109.9592,47.19,86,100,1.7
282,Xinmin,41.9908,122.8253,32.14,52,0,2.24
283,Valerianovsk,58.76,59.5522,33.08,96,100,4.92
284,Prenza,14.0005,120.652,81.72,58,75,8.05
285,Bucinişu,43.95,24.25,48.99,58,0,1.14
286,Belyy,55.8402,32.9419,11.95,94,100,8.48
287,Poirino,44.9208,7.8469,44.73,100,90,1.28
288,Kūdligi,14.9,76.3833,85.87,23,88,2.26
289,Dedovichi,57.5517,29.9502,11.98,94,96,8.79
290,Beşikdüzü,41.052,39.2284,55.4,67,75,11.5
291,Keerbergen,51.0022,4.6369,44.47,87,20,4.61
292,Rakkestad,59.4251,11.3454,14.32,86,0,1.01
293,Boldur,45.6942,21.7767,42.55,100,0,11.5
294,Santa Fe Springs,33.9472,-118.0854,51.31,87,1,0.6
295,Sonepur,20.8333,83.9167,89.44,12,0,2.8
296,Tila,17.4,-92.4833,63.68,63,0,3.02
297,Hearst,49.6835,-83.6665,30.2,55,100,10.36
298,Dagestanskiye Ogni,42.1159,48.192,50.65,66,93,6.98
299,Piracaia,-23.0539,-46.3581,68.0,100,75,4.61
300,Ābyek,36.0667,50.55,52.77,47,75,11.5
301,Tampayan,12.4794,122.5231,79.74,83,44,15.52
302,Bunumbu,8.1667,-10.8667,79.3,64,4,1.57
303,Chishtian,29.8,72.8667,74.34,25,0,4.65
304,Mosina,52.2454,16.8471,31.12,86,0,6.91
305,Ostend,51.2234,2.9119,43.52,93,75,3.44
306,Guanhães,-18.775,-42.9325,64.9,96,100,2.28
307,Podosinovets,60.2776,47.0659,12.09,95,100,3.53
308,Gondomar,41.1445,-8.5322,46.04,93,20,4.61
309,Schrobenhausen,48.55,11.2667,39.74,93,75,2.3
310,Kadiri,14.1167,78.1667,85.5,23,39,7.14
311,Basoko,1.2391,23.616,78.96,77,100,3.15
312,Sunndalsøra,62.6754,8.5515,18.05,68,0,3.44
313,Lăpuşnicel,44.9831,22.2269,51.01,76,69,1.03
314,Borodino,55.9106,94.8983,11.17,94,96,6.42
315,Slavičín,49.088,17.8735,35.4,94,90,1.01
316,Yoshida-kasugachō,37.6833,138.8833,38.3,70,75,8.05
317,Mbeya,-8.9,33.45,75.9,67,1,1.32
318,Kolochava,48.4285,23.6959,44.01,83,99,5.99
319,Stănişeşti,46.4333,27.3,37.2,81,75,3.44
320,Uporovo,56.3109,66.2693,33.87,99,96,6.06
321,Saint-Priest,45.6961,4.9389,45.91,93,100,3.44
322,Wasserbillig,49.71,6.5003,44.19,100,75,6.91
323,Palau,7.503,134.621,84.2,70,75,14.97
324,Dijon,47.3167,5.0167,44.35,100,100,2.3
325,Yetkul',54.8221,61.588,35.6,93,20,4.47
326,Caldas da Rainha,39.4033,-9.1384,49.96,72,99,11.99
327,Ocampo,21.65,-101.5,54.34,35,0,7.87
328,Bal‘ā,32.3339,35.1116,62.62,77,40,4.61
329,Piracanjuba,-17.3028,-49.0167,67.8,93,100,2.89
330,Belidzhi,41.8918,48.4125,51.37,68,75,7.2
331,Rāmgarh,23.6333,85.5167,82.4,21,20,5.75
332,Kaélé,10.1092,14.4508,73.4,23,43,9.22
333,Legaspi City,13.1372,123.7344,78.98,85,91,8.08
334,Rumat Heib,32.7792,35.3069,65.73,77,40,8.05
335,Cantil,2.5623,-78.4038,76.68,90,100,4.81
336,Chiltepec,18.4847,-96.9019,69.96,34,0,5.19
337,Port Hardy,50.6996,-127.4199,44.6,100,90,5.75
338,Sadābād,27.45,78.05,73.76,34,0,5.97
339,Comillas,15.3982,120.7007,84.2,65,75,9.22
340,Craigieburn,-37.6,144.95,72.14,57,75,14.97
341,Luga,58.7372,29.8453,7.11,92,97,7.31
342,Bridgeport,41.167,-73.2048,27.66,86,1,4.29
343,Bānsdīh,25.8833,84.2167,80.37,32,7,5.75
344,Itzehoe,53.921,9.5153,31.75,59,100,3.0
345,Bilaran,14.0353,120.7103,82.29,58,75,8.05
346,Whitefield,53.55,-2.3,42.8,90,91,4.12
347,Hilişeu-Horia,48.0333,26.25,34.36,80,75,4.47
348,San Martín Caltenco,18.9,-97.8,55.29,46,0,1.68
349,Nārāyanavanam,13.4167,79.5833,86.0,45,20,13.8
350,Sălacea,47.4667,22.3167,41.72,93,100,3.44
351,Bhūm,18.4667,75.6667,83.95,22,0,6.69
352,Koper,45.5469,13.7294,50.83,93,90,4.61
353,Chongwe,-15.3292,28.682,78.8,61,75,12.66
354,Campbeltown,55.4258,-5.6076,42.8,93,75,19.57
355,Bozhou,33.8772,115.7703,60.98,31,0,7.81
356,Abomey,7.1829,1.9912,87.48,59,0,2.37
357,Privolzhsk,57.3808,41.2886,6.98,94,100,12.01
358,Nova Iguaçu,-22.7592,-43.4511,75.51,83,75,9.22
359,Bad Wurzach,47.9,9.9,42.22,95,40,1.99
360,Cañaveral,14.9833,-88.0167,66.99,96,98,1.7
361,Bayanga,7.5214,124.2522,77.97,84,100,1.5
362,Mahaplag,10.5788,124.9753,79.41,81,74,4.97
363,Peque,7.0212,-75.9093,64.96,77,97,1.63
364,Iraq,33.0,44.0,64.4,45,90,18.41
365,Neunkirchen,49.35,7.1833,43.79,100,90,1.14
366,Boldeşti,44.8667,26.5333,44.74,81,0,11.5
367,Anguillara Sabazia,42.0875,12.2767,51.13,100,90,4.61
368,Stirling,56.119,-3.9368,38.7,92,100,10.0
369,Movila Miresii,45.2167,27.6,39.96,70,100,5.82
370,Natal,-5.795,-35.2094,76.21,78,20,5.75
371,Intipucá,13.1969,-88.0544,70.5,66,85,3.22
372,Mamboma,8.0833,-11.6833,79.66,65,2,0.6
373,Urubamba,-13.3047,-72.1158,51.89,66,99,1.7
374,Sovetsk,55.0839,21.8785,25.79,97,86,6.53
375,Valavanur,11.9209,79.5824,85.17,44,0,10.56
376,Tracy,37.7397,-121.4252,47.52,46,1,11.5
377,Dzitás,20.85,-88.5167,60.64,95,0,4.12
378,Tinalmud,13.5941,122.878,77.85,87,92,16.13
379,Damayan,11.4936,122.5531,79.75,88,65,4.9
380,Lopez Jaena,10.8492,123.4278,81.79,79,68,8.19
381,Lenoir City,35.7973,-84.256,41.92,93,90,6.91
382,San Pedro Apartado,15.8353,120.5661,85.01,58,20,4.23
383,Tachikawa,35.6928,139.4181,48.36,57,1,8.05
384,Schisma Eloundas,35.2667,25.7167,62.15,82,0,2.3
385,Lauderdale Lakes,26.1665,-80.2084,57.24,88,1,3.44
386,Konstantinovskiy,57.8301,39.5899,8.6,78,40,8.95
387,Bugas,9.898,123.4049,84.2,79,40,6.91
388,Novo Horizonte,-21.4681,-49.2208,71.1,97,47,3.94
389,Agogo,6.8,-1.0819,81.91,68,52,4.9
390,Newton Stewart,54.9578,-4.4832,41.0,87,75,16.11
391,Altamira,-3.2033,-52.2064,70.93,98,77,2.57
392,Podolínec,49.2587,20.536,32.99,93,90,3.44
393,Bisauli,28.3167,78.9333,72.36,46,0,2.98
394,Avaré,-23.0986,-48.9258,66.67,99,31,4.27
395,Garoua,9.3,13.4,78.8,18,45,4.61
396,Opol,8.5214,124.5711,81.0,85,90,4.0
397,Bom Jardim,-7.7958,-35.5872,71.53,90,40,4.32
398,Gouré,13.9835,10.2704,71.01,21,0,11.01
399,Winnetka,42.1081,-87.7359,13.62,73,40,20.71
400,Hamburg,53.55,10.0,33.15,86,75,12.66
401,Linmansangan,15.8349,120.2836,83.53,62,33,5.55
402,Port Said,31.2565,32.2841,64.4,82,40,11.5
403,Alferrarede,39.4833,-8.1667,47.44,95,100,1.99
404,Coyutla,20.25,-97.65,65.68,52,0,2.08
405,Patharia,23.9,79.2,83.91,17,3,6.44
406,Prado,-17.3411,-39.2208,75.43,86,1,10.2
407,Mahendragarh,28.2833,76.15,71.76,29,0,5.5
408,Neochori,41.1833,23.25,57.72,91,100,1.01
409,Bârca,43.9667,23.6167,48.99,58,0,1.14
410,Rutigliano,41.0111,17.0055,57.24,78,28,5.99
411,Ksar Hellal,35.6477,10.8905,64.4,42,0,8.05
412,Waxahachie,32.3865,-96.8483,41.0,60,1,9.69
413,Plaridel,14.8872,120.8572,84.33,58,75,8.05
414,Cambridge,43.3601,-80.3127,32.68,100,90,12.66
415,Parung,-6.4214,106.7331,85.44,66,40,6.91
416,Grevenmacher,49.6747,6.4419,44.53,100,75,6.91
417,Mananara,-16.1667,49.7667,84.6,69,1,5.17
418,Corn Island,12.1694,-83.0418,78.76,83,100,13.78
419,Vamberk,50.1176,16.2907,35.15,92,92,6.51
420,Ust'-Labinsk,45.2125,39.6864,45.61,81,75,24.61
421,Vuyyūru,16.3667,80.85,86.0,39,0,2.3
422,Virden,39.5009,-89.7679,21.33,78,7,10.0
423,Kehychivka,49.2866,35.7615,24.51,90,100,19.57
424,Huntington Station,40.8534,-73.4115,31.93,80,1,3.44
425,Asopía,38.3,23.5,58.8,77,0,2.82
426,Hoquiam,46.9809,-123.8893,46.35,93,90,21.85
427,Babana,10.4295,3.815,84.18,14,12,6.49
428,Palos Hills,41.6967,-87.817,12.78,63,100,8.99
429,La Paz,-16.5,-68.15,44.6,87,75,2.3
430,Ilabaya,-17.4208,-70.5133,66.18,66,100,1.05
431,Buriti Alegre,-18.14,-49.0403,67.41,92,100,2.04
432,Gliwice,50.2976,18.6766,32.11,10,90,4.0
433,Norcasia,5.5778,-74.8852,69.62,86,21,2.71
434,Porto da Folha,-9.9172,-37.2783,75.42,78,55,7.87
435,Toa Alta,18.3883,-66.2482,69.69,95,7,1.01
436,Caloundra,-26.8,153.1333,74.61,76,46,1.99
437,Coromoro,6.2946,-73.0402,61.39,71,96,3.76
438,Corumbá,-19.0092,-57.6533,70.68,88,61,3.85
439,Isetskoye,56.4858,65.3226,33.42,99,100,4.81
440,Bärnbach,47.0333,15.85,41.92,87,20,1.14
441,Alhambra,34.0953,-118.127,50.07,76,1,2.51
442,Eden,36.4885,-79.7667,37.98,87,90,7.63
443,Failsworth,53.5048,-2.1657,42.28,100,83,2.3
444,San Juan de Planes,14.9333,-88.7833,59.11,94,88,2.37
445,Pomezeu,46.7833,22.2833,44.8,81,20,5.75
446,Vila Chã,40.8667,-8.4667,47.46,93,40,5.75
447,Sena Madureira,-9.0656,-68.6569,72.7,98,100,1.21
448,Bafoussam,5.4737,10.4179,79.9,17,7,6.78
449,La Curva,12.4048,121.0459,81.01,75,87,9.19
450,Tawang Town,27.5833,91.8667,47.44,46,6,8.5
451,Hosangadi,13.7,74.95,93.69,27,4,8.86
452,Būkān,36.521,46.2089,46.49,78,100,9.57
453,Kakching,24.4833,93.9833,73.4,35,20,9.22
